Tytuł,Autor,Autor (po nazwisku),Tłumacz,Okładka,Data emisji,Opis audycji,Link
Spaleni w ogniu,Jaume Cabré,Cabré Jaume,Anna Sawicka,https://static.prsa.pl/images/716eceb0-8e6d-4de0-a38e-ef04a8ffb346.jpg?format=500,2023-02-26,"Irene Solà i Jaume Cabre, czyli literatura katalońska","https://www.polskieradio.pl/8/2827/Artykul/3120578,irene-solà-i-jaume-cabre-czyli-literatura-katalonska"
Biały głód,Aki Ollikainen,Ollikainen Aki,Justyna Polanowska,https://static.prsa.pl/images/9b60c34b-493a-4db5-b2d8-f454e7de3482.jpg,2023-02-19,Nowa literatura z Finlandii,"https://www.polskieradio.pl/8/2827/Artykul/3119115,nowa-literatura-z-finlandii"
"Powiedziała, że nie żałuje",Tommi Kinnunen,Kinnunen Tommi,Sebastian Musielak,https://static.prsa.pl/images/9b60c34b-493a-4db5-b2d8-f454e7de3482.jpg,2023-02-19,Nowa literatura z Finlandii,"https://www.polskieradio.pl/8/2827/Artykul/3119115,nowa-literatura-z-finlandii"
Jeśli przecięto cię na pół,Łukasz Barys,Barys Łukasz,(brak danych),https://static.prsa.pl/images/46402a1d-033b-4147-a7b9-47be6f4103e6.jpg?format=500,2023-02-12,"Jeśli przecięto cię na pół i Czarna ręka, zsiadłe mleko. Kameralny, autorski świat","https://www.polskieradio.pl/8/2827/Artykul/3115714,jesli-przecieto-cie-na-pol-i-czarna-reka-zsiadle-mleko-kameralny-autorski-swiat"
"Czarna ręka, zsiadłe mleko",Katarzyna Szaulińska,Szaulińska Katarzyna,(brak danych),https://static.prsa.pl/images/46402a1d-033b-4147-a7b9-47be6f4103e6.jpg?format=500,2023-02-12,"Jeśli przecięto cię na pół i Czarna ręka, zsiadłe mleko. Kameralny, autorski świat","https://www.polskieradio.pl/8/2827/Artykul/3115714,jesli-przecieto-cie-na-pol-i-czarna-reka-zsiadle-mleko-kameralny-autorski-swiat"
Zniknięcia,Georges Perec,Perec Georges,"Stanisław Waszak, René Koelblen",https://static.prsa.pl/images/695d41bd-4ef6-44b6-ad62-aef35c716571.jpg?format=500,2023-02-05,Zniknięcia i Krew i flaki w szkole średniej - literackie eksperymenty,"https://www.polskieradio.pl/8/2827/Artykul/3112756,znikniecia-i-krew-i-flaki-w-szkole-sredniej-literackie-eksperymenty"
Krew i flaki w szkole średniej,Kathy Acker,Acker Kathy,Andrzej Wojtasik,https://static.prsa.pl/images/695d41bd-4ef6-44b6-ad62-aef35c716571.jpg?format=500,2023-02-05,Zniknięcia i Krew i flaki w szkole średniej - literackie eksperymenty,"https://www.polskieradio.pl/8/2827/Artykul/3112756,znikniecia-i-krew-i-flaki-w-szkole-sredniej-literackie-eksperymenty"
W szafie,Tereza Semotamová,Semotamová Tereza,Anna Wanik,https://static.prsa.pl/images/12f2e119-5fa6-4dd4-adc5-f4679f191fa0.jpg?format=500,2023-01-29,W szafie i Taniec niedźwiedzia. Czeska fikcja i non-fiction,"https://www.polskieradio.pl/8/2827/Artykul/3108916,w-szafie-i-taniec-niedzwiedzia-czeska-fikcja-i-nonfiction"
Taniec niedźwiedzia,Irena Dousková,Dousková Irena,(brak danych),https://static.prsa.pl/images/12f2e119-5fa6-4dd4-adc5-f4679f191fa0.jpg?format=500,2023-01-29,W szafie i Taniec niedźwiedzia. Czeska fikcja i non-fiction,"https://www.polskieradio.pl/8/2827/Artykul/3108916,w-szafie-i-taniec-niedzwiedzia-czeska-fikcja-i-nonfiction"
Chilijski poeta,Alejandro Zambra,Zambra Alejandro,Carlos Marrodán Casas,https://static.prsa.pl/images/23697e56-8116-46fc-99b5-8db12b5caeb1.jpg?format=500,2023-01-15,Nowa literatura Ameryki Południowej,"https://www.polskieradio.pl/8/2827/Artykul/3102978,nowa-literatura-ameryki-poludniowej"
A gdy obejrzysz się za siebie,Juan Gabriel Vásquez,Gabriel Vásquez Juan,Katarzyna Okrasko,https://static.prsa.pl/images/23697e56-8116-46fc-99b5-8db12b5caeb1.jpg?format=500,2023-01-15,Nowa literatura Ameryki Południowej,"https://www.polskieradio.pl/8/2827/Artykul/3102978,nowa-literatura-ameryki-poludniowej"
Planeta Piołun,Oksana Zabużko,Zabużko Oksana,"Katarzyna Kotyńska, Anna Łazar",https://static.prsa.pl/images/5a5a3ee8-c348-4166-9d50-605cc4ba062d.jpg?format=500,2023-01-08,"Wątek ukraiński, książki do śmiechu i nie tylko. Literackie podsumowanie roku","https://www.polskieradio.pl/8/2827/Artykul/3098323,watek-ukrainski-ksiazki-do-smiechu-i-nie-tylko-literackie-podsumowanie-roku"
